"Age","Urban","Tenure","Educ","Expenditure","Marital","Income"
59,1,2,15,31983.7502,1,127000
57,1,1,14,16142.5,3,108000
72,2,1,16,14156,3,80808
36,1,1,16,143455.6281,1,402776
47,1,1,16,12811.6281,3,135000
32,1,1,16,14760.0282,5,0
47,1,4,13,18334.9999,4,12000
57,1,4,13,7593,3,1
57,1,4,15,14079,1,40000
57,1,4,12,11275.7501,1,61000
35,1,4,14,7007.7999,1,0
29,1,4,12,11158.1499,3,0
28,1,4,15,7693.55,1,12000
28,1,4,16,10044.25,5,66010
71,2,1,12,4295,2,23611
77,1,1,13,13440.4499,1,145256
68,1,2,13,12536.75,1,76920
42,1,4,12,9228.25,4,58000
62,1,2,13,16499.0001,1,73964
41,1,4,13,4560.2501,3,29536
45,1,4,12,10304.2501,3,41000
54,1,2,16,6096.5001,5,50000
74,1,1,16,14859,2,15984
39,1,1,16,22014.25,1,144000
88,1,2,11,6036,1,25512
27,1,2,16,3394.8002,5,7000
55,1,2,12,5600.3001,1,47000
69,1,2,13,6976.2,1,80200
88,1,2,13,2772.7999,1,0
61,2,1,12,12091.4998,1,600
34,1,4,15,27617.5,1,165000
49,1,4,15,8324.9499,5,24000
57,1,2,14,19976.2501,1,65000
66,1,4,13,9764,3,22008
43,1,1,15,28270.5,1,78295
22,1,4,15,9746.2501,5,9000
47,1,4,14,6105.75,1,1700
68,2,2,14,9298.75,1,37476
47,1,2,14,15955.9999,1,86480
30,1,4,14,6116.5001,5,35000
73,1,2,12,7447,1,5316
59,1,4,10,1492,3,700
64,1,2,15,10665.9999,1,70000
25,1,4,14,5804,5,0
88,1,1,15,5697,2,3773
27,1,4,13,15140.9999,5,46000
30,1,4,12,5096.9,1,19464
62,1,2,15,23723.2501,2,36000
60,1,1,15,16605.3499,1,150000
28,1,1,14,18683,1,71000
33,1,1,15,29747.628,1,410382
80,2,2,12,7494,1,30681
72,1,4,15,4391,1,18240
33,1,1,14,33126.75,1,160200
63,1,2,10,4586.0501,1,24940
40,1,4,11,14182.7999,2,52000
81,1,5,15,13073,1,52823
46,1,2,13,2956.6501,5,1028
55,1,1,16,21956.9,1,0
69,1,2,13,5424,3,16456
27,1,4,12,3506.7001,5,0
54,1,1,15,54754.128,1,214021
65,1,4,13,4816.9501,5,18570
71,1,1,14,14916.7499,1,81984
66,1,1,13,2861,5,10932
69,1,4,13,5309,3,25164
79,2,2,16,8210,1,55216
45,1,1,16,36827.6666,1,256000
39,1,2,12,9563.3501,1,37000
75,1,4,14,8985.7501,5,36233
45,2,4,10,13911.0782,1,0
78,1,1,16,12966.7499,1,42399
31,1,4,15,10937.7501,5,75000
54,1,1,16,7038.0001,3,23000
79,1,1,15,14314,1,47316
68,1,2,14,14735,1,28216
53,1,4,16,10724.2501,1,25000
30,1,1,15,14549.7501,1,165200
25,1,4,13,13702.9501,5,9000
58,1,2,12,3973.8001,3,0
43,1,4,11,9772.7501,5,53010
61,1,4,12,5414.3,3,16008
32,1,4,12,10685.25,1,31452
58,1,1,15,7732.0001,5,28632
27,1,4,14,13236.0002,5,75000
58,1,2,14,9756.0001,3,35076
47,1,4,15,37547.25,1,123400
62,1,2,13,12328.2501,1,131650
52,1,4,13,2655,5,1213
76,1,2,12,6307,1,44228
48,1,4,14,45689.5001,3,66788
63,1,1,13,12356.7501,1,77089
23,1,4,15,2320.25,5,2000
66,1,4,11,5070,1,22504
28,1,4,13,38076,1,72000
39,1,1,12,11911.5002,1,121000
45,1,4,12,2067,5,8892
30,1,5,11,4422.4499,1,11268
63,1,4,10,2834,4,0
71,2,4,15,5958,3,31912
29,1,1,13,14077.4999,1,0
55,1,2,15,10394.3499,3,135000
66,2,2,10,10016.6281,1,0
79,1,2,15,5989,3,48448
18,1,1,12,15051,5,2e+05
37,1,1,13,33043.7501,5,134012
31,1,4,15,7595.6499,1,32000
26,1,4,11,9318.3499,5,0
21,1,5,13,5722.95,5,0
28,1,1,15,17163.7502,1,74500
36,1,4,15,15287.5001,5,69005
88,1,2,15,3850,2,15636
50,1,1,13,11316.0001,3,72182
77,1,2,11,3386,3,14568
70,1,1,16,15971.5001,1,133888
25,1,1,13,16332.0001,1,95000
61,1,1,16,18149.1,1,80104
31,1,1,13,11051.1782,5,0
64,1,2,15,16321,1,30000
63,1,1,13,3922.5,3,42400
74,1,2,16,15002.2499,1,79400
69,1,2,14,6204,1,3216
45,1,1,14,14109.6281,5,155000
61,1,1,16,24180.6281,3,0
78,1,4,0,2917,3,0
72,1,4,12,7594.75,1,30892
32,1,4,15,9560.5,3,52000
28,1,1,12,9622.0001,1,47000
58,1,1,14,14745.25,1,109128
53,1,1,13,24970.3333,4,65000
59,1,2,12,4093.3333,2,0
70,1,2,16,18867.7521,1,1608
60,1,1,16,8407.8334,3,87000
28,2,1,13,5998.0001,1,70000
46,2,1,14,17136.3333,1,1
41,1,1,12,14348.5999,1,119731
49,1,1,15,13794.0855,1,337776
73,1,1,16,9363.6667,1,47156
81,1,4,16,10684,2,66300
45,1,2,15,4392.9999,3,0
82,1,2,13,6151,3,19008
69,1,2,13,2791,3,48435
57,1,2,14,4423.2999,5,55009
40,1,1,13,4549.1667,3,54000
64,1,1,16,27082.3333,4,125208
71,1,1,14,12782,1,3200
50,1,4,15,19436.3333,3,120000
70,1,2,12,6693.3333,2,29943
60,1,1,13,10375.7333,1,58200
27,1,2,12,3127.8334,4,29000
66,1,2,15,8274.3333,5,70800
52,1,1,15,8741,1,76610
70,1,2,15,7159.3333,1,51508
50,1,1,15,5860,4,37550
54,1,1,15,17157.5001,1,148027
88,1,1,13,5591.3333,1,32016
21,1,4,12,6749.8667,5,86000
23,2,5,12,329.3333,5,3039
79,1,2,13,6095.1667,2,31968
43,1,2,12,2001.3001,4,34000
37,1,1,12,11678.1667,1,135000
42,1,1,13,7849.8666,1,0
59,1,1,15,14276.6666,1,110080
82,1,2,15,5916.6667,1,28056
29,1,4,12,3405.4334,5,0
37,1,4,15,4315,5,50000
41,1,4,11,8264.1667,1,81000
40,1,1,16,17893.752,1,455776
42,1,1,15,11286.5001,1,105000
58,1,1,13,12324.3333,1,144300
46,2,4,11,2678.6667,3,3071
68,1,2,12,15995.6667,1,16008
59,1,4,14,924.3333,5,20000
67,1,4,13,1179.6667,5,10728
46,1,4,12,6919.6667,1,32000
81,1,1,12,9019.0333,1,56400
75,1,4,12,1737.6667,2,0
69,1,4,14,4499.0001,3,35008
31,1,4,16,3772.8334,5,25000
37,2,1,15,7607.3332,1,98000
66,1,1,16,6468.9667,1,17240
46,2,4,13,3814.6667,2,721
30,1,1,14,6875,1,40000
58,1,1,13,7688.3332,1,90005
55,1,2,14,6725.8334,3,33000
78,1,1,12,6246,2,56220
28,1,1,13,7212.2333,5,0
63,2,4,11,4345.6667,3,7644
88,1,4,12,1267.3333,2,14808
66,1,2,15,14517.4187,1,197216
45,1,4,14,9625.3001,1,0
75,1,1,14,6988.1333,1,0
50,1,4,12,7305,3,60000
88,1,2,12,4316.6667,2,29640
63,1,1,12,4743.7334,1,0
39,1,1,15,13073.1667,1,146000
64,1,2,14,46158.9999,5,40360
76,1,2,14,8373.3333,1,33274
65,1,1,14,3709,3,1608
